venueCategory,latitude,longitude
Convenience Store,35.71454217,139.480065
Convenience Store,35.70627722,139.6177822
Train Station,35.70025263,139.4802547
Airport,35.54896343,139.7846114
Bus Station,35.57502803,139.7587865
Convenience Store,35.75075116,139.582059
Train Station,35.7495381,139.5865399
Convenience Store,35.61388937,139.7248024
Train Station,35.72902543,139.7110963
Train Station,35.55319973,139.6468145
Train Station,35.72986464,139.7109556
Train Station,35.64592362,139.8269248
Train Station,35.73022733,139.7111607
Bus Station,35.68389724,139.5684189
Train Station,35.68137872,139.7660816
Train Station,35.73792608,139.7610283
Convenience Store,35.57877735,139.7340694
Train Station,35.74660804,139.7469091
Train Station,35.56068371,139.7237302
Train Station,35.60910079,139.5163035
Subway,35.74880451,139.7195989
Subway,35.68220662,139.798767
Convenience Store,35.64405782,139.8247576
Convenience Store,35.67685564,139.6824074
Train Station,35.77209986,139.5198977
Train Station,35.64461364,139.5024687
Train Station,35.76612579,139.8092237
Train Station,35.69080269,139.7002792
Train Station,35.6400427,139.5987386
Train Station,35.76291574,139.7276831
Bus Station,35.68288854,139.5673218
Convenience Store,35.55243051,139.6474917
Subway,35.55002896,139.633677
Train Station,35.60753808,139.6688391
Train Station,35.6281212,139.737982
Train Station,35.75086595,139.8669004
Train Station,35.61149947,139.6266174
Train Station,35.73651528,139.7468233
Train Station,35.71295471,139.7037041
Subway,35.73027306,139.7113779
Train Station,35.65852173,139.701326
Airport,35.55137977,139.7884083
Subway,35.68859747,139.7106913
Train Station,35.75649928,139.8753119
Train Station,35.75626039,139.6945866
Train Station,35.55863317,139.5515156
Train Station,35.6205179,139.7508198
Train Station,35.57209628,139.7028834
Subway,35.66959007,139.8175974
Subway,35.66458473,139.8593742
Train Station,35.65948428,139.7002065
Train Station,35.84768054,139.6691492
Train Station,35.82842623,139.8034662
Train Station,35.85915698,139.6569425
Train Station,35.56238729,139.7159528
Subway,35.67567472,139.7634637
Train Station,35.67459836,139.7777009
Subway,35.60542847,139.7136497
Train Station,35.74588638,139.8562927
Train Station,35.57490949,139.6632457
Train Station,35.6071318,139.7347739
Convenience Store,35.62137029,139.749319
Train Station,35.60375363,139.5075917
Train Station,35.70462192,139.619987
Train Station,35.71678759,139.8582637
Train Station,35.53694083,139.6348679
Train Station,35.84756205,139.6693772
Convenience Store,35.67320333,139.7604684
Subway,35.69604865,139.7512382
Subway,35.68468154,139.7660494
Train Station,35.64573181,139.747569
Train Station,35.74399572,139.8115718
Subway,35.79187911,139.6458757
Train Station,35.73679396,139.6377647
Train Station,35.740912,139.716762
Subway,35.72578541,139.7298717
Train Station,35.65455023,139.7567421
Train Station,35.56077516,139.6709672
Train Station,35.72777124,139.7709632
Subway,35.64693934,139.7473598
Subway,35.66360738,139.8727047
Train Station,35.70537552,139.6498615
Train Station,35.65561814,139.7567421
Train Station,35.6985962,139.7730182
Train Station,35.56103556,139.6710375
Subway,35.68211947,139.8003387
Train Station,35.56866646,139.553412
Train Station,35.66669205,139.7581327
Train Station,35.71362077,139.7765178
Convenience Store,35.57668092,139.6596354
Train Station,35.60978987,139.7496986
Train Station,35.84562439,139.6469802
Train Station,35.74757458,139.8401856
Train Station,35.71048066,139.8133099
Train Station,35.57572976,139.6596515
Subway,35.70058589,139.764035
Train Station,35.80785559,139.8450378
Train Station,35.74355324,139.6070272
Train Station,35.8587396,139.6572858
Train Station,35.57289367,139.6672261
Subway,35.69807225,139.77548
Subway,35.68598869,139.7634315
Subway,35.69776947,139.6480751
Train Station,35.61919224,139.7283053
Train Station,35.677518,139.7653949
Train Station,35.59974085,139.6102238
Train Station,35.59902115,139.6112001
Train Station,35.71115145,139.7735596
Train Station,35.81416568,139.8013178
Convenience Store,35.61508865,139.5792603
Train Station,35.53153648,139.6967518
Train Station,35.53132693,139.696902
Train Station,35.77722683,139.7904468
Train Station,35.68895836,139.7000097
Subway,35.69055482,139.705925
Train Station,35.69022852,139.7000097
Convenience Store,35.6672683,139.7387123
Subway,35.72568253,139.7195057
Train Station,35.69034569,139.6997881
Train Station,35.74964694,139.8051453
Train Station,35.66822491,139.6011391
Train Station,35.7073575,139.7746164
Train Station,35.61529362,139.5794427
Train Station,35.69074652,139.7006357
Subway,35.6727158,139.724046
Subway,35.6781542,139.705689
Subway,35.67701252,139.737044
Subway,35.69700273,139.6826863
Train Station,35.81544677,139.5871836
Subway,35.66862803,139.704895
Convenience Store,35.60837696,139.6706532
Train Station,35.70260284,139.5608979
Convenience Store,35.71067667,139.8144364
Convenience Store,35.67787927,139.7355572
Subway,35.67231923,139.7945613
Train Station,35.81764786,139.6695864
Convenience Store,35.61022491,139.7358236
Subway,35.67194009,139.7957468
Train Station,35.63014573,139.7404289
Subway,35.65943198,139.7005606
Train Station,35.65819631,139.7020304
Train Station,35.69167017,139.7708774
Subway,35.72949574,139.7913051
Convenience Store,35.70509238,139.5614129
Train Station,35.6832088,139.7688979
Train Station,35.71369516,139.7775078
Train Station,35.81474644,139.5868364
Convenience Store,35.62188679,139.7509209
Train Station,35.82801739,139.6905184
Train Station,35.81565557,139.7043586
Train Station,35.699583,139.765222
Train Station,35.7388325,139.6627645
Train Station,35.65188911,139.5443957
Subway,35.68253342,139.7737044
Subway,35.69556071,139.7758716
Subway,35.68474254,139.7744501
Subway,35.67254956,139.9021505
Subway,35.65851667,139.7764349
Train Station,35.68600612,139.7306657
Subway,35.70895612,139.7965622
Train Station,35.57573412,139.6596569
Subway,35.63869992,139.740032
Subway,35.70300579,139.7716606
Subway,35.69792631,139.6829116
Convenience Store,35.68435257,139.7371995
Train Station,35.57572103,139.6596515
Train Station,35.61969917,139.7285528
Train Station,35.74678383,139.7546359
Train Station,35.66864546,139.6504784
Subway,35.68891662,139.8155737
Bus Station,35.72577235,139.6538526
Subway,35.68902119,139.8157024
Subway,35.66511535,139.7124588
Train Station,35.60514388,139.7425472
Subway,35.66587607,139.8930454
Train Station,35.62820962,139.7384112
Train Station,35.56840372,139.5535111
Train Station,35.62850802,139.7383313
Train Station,35.7027063,139.5608296
Train Station,35.62822723,139.7387123
Train Station,35.62882023,139.7386158
Train Station,35.59995458,139.6105993
Subway,35.65495996,139.7436476
Subway,35.56806773,139.5534682
Train Station,35.71942694,139.6638036
Subway,35.69374399,139.7708827
Train Station,35.70219553,139.5448208
Subway,35.64603261,139.8269892
Subway,35.65386463,139.7498026
Train Station,35.67374424,139.6672583
Train Station,35.64440221,139.8615897
Train Station,35.5937911,139.6056533
Train Station,35.64615031,139.8274237
Convenience Store,35.670363,139.743305
Train Station,35.53275445,139.700743
Convenience Store,35.66745134,139.8032355
Subway,35.66719421,139.7585446
Train Station,35.58974292,139.6687818
Train Station,35.69643202,139.8139429
Train Station,35.74830601,139.5676732
Train Station,35.64318157,139.6092904
Subway,35.68658997,139.7659099
Train Station,35.71585116,139.6951479
Train Station,35.70320182,139.5799041
Subway,35.68600612,139.8829293
Train Station,35.72614905,139.5132297
Train Station,35.77806244,139.7208381
Train Station,35.6663095,139.7586197
Convenience Store,35.68708232,139.7654593
Subway,35.671976,139.741176
Subway,35.66331537,139.7321168
Train Station,35.69596587,139.7580671
Train Station,35.53116759,139.6963254
Subway,35.56292403,139.5698129
Convenience Store,35.5813231,139.748733
Convenience Store,35.6691924,139.6237287
Train Station,35.68304104,139.7021592
Train Station,35.58732177,139.5913464
Train Station,35.66884376,139.6234699
Bus Station,35.52512137,139.7162907
Subway,35.54549626,139.5745189
Subway,35.68985772,139.8356581
Train Station,35.68867263,139.7731733
Subway,35.68635578,139.7822486
Train Station,35.60712395,139.6224021
Train Station,35.5884342,139.7279191
Subway,35.67736984,139.7517478
Subway,35.72129098,139.752059
Subway,35.66895053,139.6913123
Train Station,35.75243323,139.738133
Train Station,35.7336936,139.7402787
Train Station,35.79123348,139.6913901
Convenience Store,35.5665972,139.7363251
Train Station,35.74933348,139.8051023
Train Station,35.68417611,139.7020626
Train Station,35.69643638,139.8139483
Train Station,35.69690689,139.8145008
Train Station,35.69687639,139.8142353
Train Station,35.5848776,139.58198
Subway,35.67278116,139.7240299
Subway,35.67287268,139.7241318
Train Station,35.55137977,139.6717215
Subway,35.6908598,139.7048521
Train Station,35.69758487,139.8260772
Subway,35.55347523,139.5785026
Subway,35.68848092,139.7881508
Subway,35.66092259,139.7514582
Convenience Store,35.73287495,139.7135559
Subway,35.70357209,139.755106
Subway,35.70710486,139.7812709
Convenience Store,35.553754,139.578166
Train Station,35.69610528,139.7925282
Train Station,35.69612271,139.7925121
Subway,35.71014091,139.8134065
Train Station,35.56432371,139.6540457
Train Station,35.76394302,139.7708023
Train Station,35.71076379,139.8128915
Train Station,35.70219553,139.7551703
Train Station,35.70642532,139.8425084
Subway,35.724399,139.753634
Train Station,35.56247782,139.7160503
Subway,35.67964883,139.77997
Train Station,35.67496319,139.7634734
Train Station,35.62840531,139.7385408
Train Station,35.69233132,139.771273
Train Station,35.60729518,139.6686745
Train Station,35.58259999,139.6732548
Subway,35.71897399,139.7274899
Bus Station,35.63924187,139.7473429
Subway,35.68205847,139.7860265
Convenience Store,35.68213207,139.7718522
Subway,35.6738924,139.7509646
Bus Station,35.65081917,139.7474177
Train Station,35.63669204,139.5870968
Convenience Store,35.70880686,139.613846
Convenience Store,35.73900204,139.7618412
Train Station,35.65874547,139.6991222
Subway,35.69550407,139.7517049
Convenience Store,35.65024339,139.7470784
Subway,35.6695345,139.7555029
Convenience Store,35.68241141,139.6874177
Train Station,35.6897183,139.6992517
Bus Station,35.6307183,139.7432361
Train Station,35.63367739,139.7155166
Subway,35.70191673,139.744978
Subway,35.68860292,139.6989512
Train Station,35.73294462,139.8816741
Subway,35.67834593,139.7400963
Train Station,35.84318647,139.8007303
Train Station,35.6207839,139.5699102
Train Station,35.62081442,139.5697117
Train Station,35.63166305,139.6447706
Subway,35.6652461,139.7123623
Convenience Store,35.62790675,139.7407722
Train Station,35.67219503,139.4804665
Train Station,35.62104118,139.5694542
Convenience Store,35.62612991,139.7409117
Train Station,35.68337899,139.7022037
Train Station,35.65561378,139.7036934
Train Station,35.70582855,139.6657991
Subway,35.66937762,139.8065186
Train Station,35.66898975,139.6797144
Bus Station,35.68217176,139.7877324
Train Station,35.61718626,139.5645618
Train Station,35.6338943,139.5310986
Subway,35.70393801,139.7342169
Subway,35.69520782,139.7582442
Subway,35.68633726,139.7295713
Subway,35.65486406,139.7962672
Subway,35.53532513,139.5894849
Train Station,35.74561801,139.7195739
Subway,35.68797551,139.7969913
Train Station,35.69099922,139.7355741
Subway,35.67866839,139.7401714
Train Station,35.68120443,139.686361
Train Station,35.67096774,139.6587892
Train Station,35.60764845,139.7347373
Train Station,35.62885075,139.7379935
Convenience Store,35.69364814,139.7654271
Bus Station,35.62893795,139.7375107
Train Station,35.73211725,139.7667038
Subway,35.69235855,139.7009468
Convenience Store,35.69100641,139.7143484
Train Station,35.64687831,139.7099483
Train Station,35.63428342,139.7156721
Subway,35.66287517,139.7314596
Bus Station,35.62497862,139.7307827
Train Station,35.72948602,139.7108558
Train Station,35.65573582,139.7035325
Train Station,35.68892751,139.6995628
Train Station,35.80212584,139.7179842
Train Station,35.801917,139.7175872
Convenience Store,35.66170688,139.7296502
Subway,35.68138744,139.7755551
Subway,35.69051561,139.6669284
Subway,35.67423693,139.759074
Subway,35.68691239,139.7636139
Train Station,35.66629207,139.4770548
Train Station,35.72270232,139.6385915
Train Station,35.68145715,139.7664356
Train Station,35.65929319,139.7014308
Subway,35.6923934,139.7228658
Train Station,35.71290244,139.7038972
Convenience Store,35.6524669,139.744763
Train Station,35.64836523,139.7033905
Subway,35.69086525,139.7048702
Train Station,35.52201576,139.6298468
Subway,35.74395218,139.6786416
Subway,35.65227052,139.7222221
Subway,35.66318885,139.7321247
Subway,35.68598869,139.782443
Train Station,35.6264504,139.7234398
Train Station,35.57957795,139.5730188
Train Station,35.7303558,139.7105572
Bus Station,35.60052598,139.5476532
Subway,35.70559332,139.7921956
Train Station,35.735961,139.629695
Subway,35.74956422,139.8045927
Subway,35.68652026,139.7661942
Subway,35.65890459,139.702583
Train Station,35.61462638,139.5282447
Convenience Store,35.70391623,139.5830168
Convenience Store,35.66532236,139.7314013
Convenience Store,35.55685262,139.6443307
Subway,35.67232359,139.7365451
Subway,35.71141279,139.7771806
Subway,35.64742757,139.7090578
Convenience Store,35.6829735,139.6474327
Convenience Store,35.67882308,139.6656838
Train Station,35.60743038,139.6856207
Train Station,35.73787383,139.6545231
Subway,35.73740792,139.6547484
Train Station,35.74379543,139.6785879
Train Station,35.69589617,139.6999598
Subway,35.70984472,139.7908008
Subway,35.6798362,139.7800612
Airport,35.55173355,139.788494
Convenience Store,35.66998464,139.6421481
Airport,35.55310568,139.7847962
Train Station,35.67612792,139.6432096
Subway,35.69331267,139.699131
Subway,35.74977976,139.8054672
Subway,35.6688285,139.8306611
Subway,35.6742127,139.7450584
Convenience Store,35.6769733,139.785946
Train Station,35.70230879,139.7450316
Bus Station,35.68618912,139.5333731
Train Station,35.68128395,139.7660708
Train Station,35.73705522,139.4882584
Train Station,35.7125202,139.7761483
Convenience Store,35.63971137,139.75546
Train Station,35.66761259,139.631837
Train Station,35.72707447,139.7714567
